remap_index,tmdb_id,type,packed_value,frequency
0,122906,movie,245812,263
1,14,movie,28,238
2,1999,movie,3998,227
3,401,movie,802,223
4,9428,movie,18856,221
5,334541,movie,669082,217
6,9522,movie,19044,216
7,38,movie,76,208
8,210577,movie,421154,208
9,109443,movie,218886,199
10,72105,movie,144210,193
11,680,movie,1360,191
12,85350,movie,170700,190
13,8346,movie,16692,185
14,296,movie,592,182
15,9767,movie,19534,181
16,8699,movie,17398,179
17,9339,movie,18678,176
18,1035259,movie,2070518,174
19,9621,movie,19242,173
20,322,movie,644,172
21,80,movie,160,171
22,11093,movie,22186,170
23,4922,movie,9844,167
24,141,movie,282,166
25,37165,movie,74330,164
26,2288,movie,4576,163
27,194,movie,388,160
28,345,movie,690,160
29,19913,movie,39826,160
30,4348,movie,8696,159
31,725201,movie,1450402,159
32,116,movie,232,157
33,634,movie,1268,156
34,11036,movie,22072,156
35,588,movie,1176,155
36,334,movie,668,154
37,550,movie,1100,154
38,1894,movie,3788,152
39,509,movie,1018,151
40,101,movie,202,150
41,1903,movie,3806,148
42,140607,movie,281214,148
43,1954,movie,3908,147
44,9489,movie,18978,147
45,142,movie,284,146
46,50646,movie,101292,146
47,54138,movie,108276,146
48,23169,movie,46338,145
49,426563,movie,853126,145
50,14869,movie,29738,144
51,38778,movie,77556,143
52,340666,movie,681332,143
53,16619,movie,33238,141
54,12133,movie,24266,140
55,59,movie,118,137
56,492,movie,984,137
57,1427,movie,2854,137
58,913290,movie,1826580,137
59,426,movie,852,136
60,550988,movie,1101976,136
61,8193,movie,16386,135
62,2024,movie,4048,134
63,320,movie,640,133
64,1643,movie,3286,132
65,76338,movie,152676,132
66,1581,movie,3162,131
67,4347,movie,8694,130
68,4960,movie,9920,130
69,544,movie,1088,129
70,5038,movie,10076,129
71,6977,movie,13954,129
72,8645,movie,17290,129
73,470,movie,940,128
74,16320,movie,32640,128
75,956,movie,1912,127
76,55721,movie,111442,126
77,9398,movie,18796,125
78,49521,movie,99042,125
79,438631,movie,877262,125
80,565,movie,1130,124
81,243,movie,486,123
82,508,movie,1016,123
83,289,movie,578,122
84,1422,movie,2844,122
85,38356,movie,76712,122
86,70981,movie,141962,122
87,655,movie,1310,121
88,857,movie,1714,121
89,1824,movie,3648,121
90,4148,movie,8296,121
91,120467,movie,240934,121
92,398818,movie,797636,121
93,615457,movie,1230914,121
94,46705,movie,93410,120
95,598,movie,1196,119
96,52109,movie,104218,119
97,13,movie,26,118
98,1895,movie,3790,118
99,10074,movie,20148,118
100,38700,movie,77400,118
101,109414,movie,218828,118
102,866463,movie,1732926,118
103,884605,movie,1769210,118
104,335984,movie,671968,117
105,1018,movie,2036,116
106,4613,tvshow,9227,116
107,866,movie,1732,115
108,87101,movie,174202,115
109,132344,movie,264688,115
110,271718,movie,543436,115
111,331482,movie,662964,115
112,445571,movie,891142,115
113,694,movie,1388,114
114,949,movie,1898,114
115,1858,movie,3716,114
116,8967,movie,17934,114
117,51540,movie,103080,114
118,65754,movie,131508,114
119,187,movie,374,113
120,18240,movie,36480,113
121,120,movie,240,112
122,639,movie,1278,112
123,1571,movie,3142,112
124,51828,movie,103656,111
125,521,movie,1042,110
126,64685,movie,129370,110
127,58,movie,116,109
128,2251,movie,4502,109
129,13166,movie,26332,109
130,50544,movie,101088,109
131,15,movie,30,108
132,18,movie,36,108
133,409,movie,818,108
134,109418,movie,218836,108
135,228150,movie,456300,108
136,62,movie,124,107
137,285,movie,570,107
138,1893,movie,3786,107
139,624860,movie,1249720,107
140,802,movie,1604,106
141,12116,movie,24232,106
142,84892,movie,169784,106
143,297,movie,594,105
144,13475,movie,26950,105
145,72207,movie,144414,105
146,75612,movie,151224,105
147,274857,movie,549714,105
148,35,movie,70,104
149,176,movie,352,104
150,1730,movie,3460,104
