remap_index,tmdb_id,type,packed_value,frequency
0,2662,movie,5324,209
1,565,movie,1130,193
2,9656,movie,19312,191
3,948,movie,1896,190
4,176,movie,352,187
5,10066,movie,20132,187
6,588,movie,1176,183
7,424139,movie,848278,177
8,9373,movie,18746,174
9,4234,movie,8468,172
10,913290,movie,1826580,167
11,663712,movie,1327424,166
12,4232,movie,8464,163
13,210577,movie,421154,163
14,9544,movie,19088,162
15,41446,movie,82892,162
16,11908,movie,23816,155
17,322,movie,644,152
18,2082,movie,4164,150
19,2668,movie,5336,150
20,4488,movie,8976,147
21,23437,movie,46874,147
22,270303,movie,540606,147
23,829,movie,1658,146
24,1999,movie,3998,146
25,10226,movie,20452,145
26,13207,movie,26414,145
27,22970,movie,45940,145
28,30497,movie,60994,145
29,377,movie,754,144
30,694,movie,1388,144
31,82507,movie,165014,144
32,420634,movie,841268,144
33,866463,movie,1732926,141
34,8555,movie,17110,140
35,14580,movie,29160,139
36,85350,movie,170700,138
37,9877,movie,19754,137
38,10069,movie,20138,137
39,9676,movie,19352,133
40,122906,movie,245812,133
41,646385,movie,1292770,132
42,14,movie,28,131
43,138,movie,276,131
44,9428,movie,18856,131
45,109428,movie,218856,130
46,320,movie,640,128
47,963,movie,1926,128
48,11547,movie,23094,128
49,157547,movie,315094,128
50,10676,movie,21352,127
51,16938,movie,33876,126
52,10070,movie,20140,125
53,17221,movie,34442,125
54,9522,movie,19044,123
55,116,movie,232,122
56,6466,movie,12932,121
57,7978,movie,15956,121
58,14001,movie,28002,121
59,14435,movie,28870,119
60,65086,movie,130172,119
61,10185,movie,20370,117
62,13515,movie,27030,117
63,619778,movie,1239556,117
64,8699,movie,17398,116
65,11056,movie,22112,116
66,1422,movie,2844,115
67,10665,movie,21330,115
68,109443,movie,218886,115
69,493922,movie,987844,115
70,334541,movie,669082,113
71,521,movie,1042,112
72,10320,movie,20640,112
73,8617,movie,17234,111
74,1690,movie,3380,110
75,426063,movie,852126,110
76,238,movie,476,109
77,401,movie,802,109
78,11377,movie,22754,108
79,632727,movie,1265454,108
80,3021,movie,6042,107
81,11093,movie,22186,107
82,28794,movie,57588,107
83,4233,movie,8466,106
84,83899,movie,167798,106
85,2118,movie,4236,105
86,8346,movie,16692,105
87,1939,movie,3878,104
88,9003,movie,18006,104
89,824,movie,1648,103
90,764,movie,1528,102
91,910,movie,1820,102
92,4348,movie,8696,101
93,9339,movie,18678,101
94,23202,movie,46404,101
95,1035259,movie,2070518,101
96,4613,tvshow,9227,100
97,43593,movie,87186,100
98,539,movie,1078,99
99,345,movie,690,98
100,1949,movie,3898,98
101,769,movie,1538,97
102,9035,movie,18070,97
103,9392,movie,18784,97
104,9767,movie,19534,97
105,27033,movie,54066,97
106,372343,movie,744686,97
107,426563,movie,853126,97
108,713704,movie,1427408,97
109,1696,movie,3392,96
110,6114,movie,12228,96
111,27346,movie,54692,96
112,157433,movie,314866,96
113,857,movie,1714,95
114,2288,movie,4576,95
115,3597,movie,7194,95
116,16619,movie,33238,95
117,610253,movie,1220506,95
118,11368,movie,22736,94
119,15794,movie,31588,94
120,25503,movie,51006,94
121,996,movie,1992,93
122,8922,movie,17844,93
