remap_index,tmdb_id,type,packed_value,frequency
0,72105,movie,144210,319
1,9522,movie,19044,315
2,109443,movie,218886,308
3,8699,movie,17398,265
4,9428,movie,18856,259
5,12133,movie,24266,250
6,122906,movie,245812,247
7,9339,movie,18678,246
8,8193,movie,16386,237
9,544,movie,1088,232
10,1035259,movie,2070518,229
11,426563,movie,853126,218
12,55721,movie,111442,207
13,10074,movie,20148,204
14,109418,movie,218836,198
15,565,movie,1130,195
16,6957,movie,13914,192
17,8346,movie,16692,192
18,51540,movie,103080,192
19,8467,movie,16934,191
20,401,movie,802,188
21,109414,movie,218828,187
22,14,movie,28,186
23,9767,movie,19534,186
24,38778,movie,77556,185
25,100042,movie,200084,183
26,588,movie,1176,182
27,913290,movie,1826580,181
28,85350,movie,170700,178
29,176,movie,352,174
30,23437,movie,46874,174
31,634,movie,1268,173
32,9373,movie,18746,173
33,11812,movie,23624,173
34,617505,movie,1235010,171
35,1999,movie,3998,166
36,10066,movie,20132,166
37,884605,movie,1769210,166
38,948,movie,1896,164
39,9398,movie,18796,164
40,50646,movie,101292,164
41,424139,movie,848278,163
42,10665,movie,21330,161
43,271718,movie,543436,160
44,445571,movie,891142,159
45,377,movie,754,158
46,10402,movie,20804,157
47,39939,movie,79878,156
48,615678,movie,1231356,154
49,693,movie,1386,151
50,2662,movie,5324,149
51,19913,movie,39826,145
52,11036,movie,22072,144
53,16538,movie,33076,144
54,582596,movie,1165192,144
55,35,movie,70,143
56,663712,movie,1327424,143
57,10320,movie,20640,142
58,270303,movie,540606,142
59,391713,movie,783426,142
60,38,movie,76,141
61,2292,movie,4584,141
62,10069,movie,20138,141
63,4348,movie,8696,140
64,4964,movie,9928,139
65,9656,movie,19312,138
66,13166,movie,26332,138
67,18785,movie,37570,138
68,455980,movie,911960,138
69,509,movie,1018,137
70,30497,movie,60994,137
71,41446,movie,82892,137
72,109428,movie,218856,137
73,210577,movie,421154,137
74,2294,movie,4588,135
75,23169,movie,46338,135
76,502356,movie,1004712,135
77,619778,movie,1239556,135
78,10152,movie,20304,134
79,12177,movie,24354,134
80,334541,movie,669082,134
81,8363,movie,16726,132
82,4232,movie,8464,131
83,9541,movie,19082,131
84,11891,movie,23782,131
85,505600,movie,1011200,131
86,680,movie,1360,130
87,694,movie,1388,130
88,493922,movie,987844,130
89,1824,movie,3648,129
90,2082,movie,4164,129
91,4234,movie,8468,129
92,9794,movie,19588,129
93,13515,movie,27030,129
94,18240,movie,36480,129
95,9621,movie,19242,128
96,157547,movie,315094,128
97,188161,movie,376322,128
98,322,movie,644,127
99,22970,movie,45940,127
100,725201,movie,1450402,127
101,9489,movie,18978,125
102,38700,movie,77400,125
103,2105,movie,4210,124
104,10033,movie,20066,124
105,71880,movie,143760,123
106,89492,movie,178984,123
107,420634,movie,841268,123
108,484718,movie,969436,123
109,713704,movie,1427408,123
110,862551,movie,1725102,123
111,550988,movie,1101976,122
112,243,movie,486,120
113,1581,movie,3162,119
114,38365,movie,76730,119
115,882598,movie,1765196,119
116,6877,movie,13754,118
117,8587,movie,17174,118
118,6466,movie,12932,117
119,7211,movie,14422,117
120,9919,movie,19838,117
121,10226,movie,20452,117
122,11547,movie,23094,117
123,11908,movie,23816,117
124,72207,movie,144414,117
125,83899,movie,167798,117
126,818,movie,1636,116
127,82507,movie,165014,116
128,2123,movie,4246,115
129,9392,movie,18784,115
130,13207,movie,26414,115
131,27581,movie,55162,115
132,1597,movie,3194,114
133,84892,movie,169784,113
134,109439,movie,218878,112
135,296099,movie,592198,112
136,13,movie,26,111
137,3021,movie,6042,111
138,8645,movie,17290,111
139,320,movie,640,110
140,639,movie,1278,110
141,50544,movie,101088,110
142,615457,movie,1230914,110
143,866463,movie,1732926,110
144,296,movie,592,109
145,4488,movie,8976,109
146,9544,movie,19088,109
147,11545,movie,23090,109
148,50546,movie,101092,109
149,278927,movie,557854,109
150,109431,movie,218862,108
151,10591,movie,21182,107
152,11688,movie,23376,107
153,14220,movie,28440,107
154,765119,movie,1530238,107
155,866,movie,1732,106
156,2288,movie,4576,106
157,4108,movie,8216,106
158,4379,movie,8758,106
159,41630,movie,83260,106
160,59,movie,118,105
161,10096,movie,20192,105
162,37135,movie,74270,105
163,331482,movie,662964,105
164,646385,movie,1292770,105
165,492,movie,984,104
166,508,movie,1016,104
167,16619,movie,33238,104
168,37136,movie,74272,104
169,610253,movie,1220506,104
170,37735,movie,75470,103
171,51828,movie,103656,103
172,632727,movie,1265454,103
173,245,movie,490,102
174,8555,movie,17110,102
175,9877,movie,19754,102
176,43074,movie,86148,102
177,252838,movie,505676,102
178,603692,movie,1207384,102
179,330457,movie,660914,101
180,1232546,movie,2465092,101
181,8617,movie,17234,100
182,245891,movie,491782,100
183,9472,movie,18944,99
184,11093,movie,22186,99
185,37165,movie,74330,99
186,376659,movie,753318,99
187,844185,movie,1688370,99
188,425,movie,850,98
189,857,movie,1714,98
190,1422,movie,2844,98
191,11675,movie,23350,98
192,14869,movie,29738,98
193,101,movie,202,97
194,8398,movie,16796,97
195,2024,movie,4048,96
196,6977,movie,13954,96
197,11353,movie,22706,96
198,376660,movie,753320,96
199,474350,movie,948700,96
200,514999,movie,1029998,96
201,194,movie,388,95
202,598,movie,1196,95
203,9335,movie,18670,95
204,10191,movie,20382,95
205,11852,movie,23704,95
206,116,movie,232,94
207,8273,movie,16546,94
208,4613,tvshow,9227,93
209,4951,movie,9902,93
210,10781,movie,21562,93
211,11467,movie,22934,93
212,16614,movie,33228,93
213,37137,movie,74274,93
214,346364,movie,692728,93
215,398818,movie,797636,93
216,1022690,movie,2045380,93
217,703,movie,1406,92
218,1690,movie,3380,92
219,2621,movie,5242,92
220,10185,movie,20370,92
221,11091,movie,22182,92
222,458723,movie,917446,92
223,1034541,movie,2069082,92
224,142,movie,284,91
225,1571,movie,3142,91
226,4638,movie,9276,91
227,5038,movie,10076,91
228,10050,movie,20100,91
229,11007,movie,22014,91
230,239678,movie,479356,91
231,921636,movie,1843272,91
232,215,movie,430,90
233,855,movie,1710,90
234,2295,movie,4590,90
235,9603,movie,19206,90
236,140607,movie,281214,90
237,274167,movie,548334,90
238,862,movie,1724,89
239,2293,movie,4586,89
240,10229,movie,20458,89
241,18189,movie,36378,89
242,454626,movie,909252,89
243,495764,movie,991528,89
244,80,movie,160,88
245,238,movie,476,88
246,773,movie,1546,88
247,2018,movie,4036,88
248,2022,movie,4044,88
249,2085,movie,4170,88
250,9530,movie,19060,88
251,9902,movie,19804,88
252,10707,movie,21414,88
253,11056,movie,22112,88
254,43931,movie,87862,88
255,141,movie,282,87
256,941,movie,1882,87
257,1266,movie,2532,87
258,2800,movie,5600,87
259,4922,movie,9844,87
260,9377,movie,18754,87
261,27578,movie,55156,87
262,35056,movie,70112,87
263,82702,movie,165404,87
264,460668,movie,921336,87
265,507089,movie,1014178,87
266,950,movie,1900,86
267,8976,movie,17952,86
268,10070,movie,20140,86
269,530385,movie,1060770,86
270,764,movie,1528,85
271,824,movie,1648,85
272,1858,movie,3716,85
273,5876,movie,11752,85
274,65086,movie,130172,85
275,260346,movie,520692,85
276,345911,movie,691822,85
277,527774,movie,1055548,85
278,712,movie,1424,84
279,1819,movie,3638,84
280,3981,movie,7962,84
281,11442,movie,22884,84
282,228150,movie,456300,84
283,420817,movie,841634,84
284,501170,movie,1002340,84
285,521777,movie,1043554,84
