remap_index,tmdb_id,type,packed_value,frequency
0,122906,movie,245812,582
1,913290,movie,1826580,517
2,85350,movie,170700,480
3,9428,movie,18856,477
4,1999,movie,3998,466
5,9522,movie,19044,459
6,565,movie,1130,447
7,401,movie,802,438
8,9339,movie,18678,437
9,72105,movie,144210,432
10,334541,movie,669082,430
11,493922,movie,987844,424
12,109443,movie,218886,389
13,14,movie,28,387
14,8346,movie,16692,386
15,9767,movie,19534,386
16,588,movie,1176,385
17,157547,movie,315094,377
18,210577,movie,421154,363
19,38,movie,76,362
20,23169,movie,46338,344
21,19913,movie,39826,338
22,322,movie,644,332
23,11036,movie,22072,332
24,50646,movie,101292,329
25,82507,movie,165014,329
26,16619,movie,33238,327
27,9621,movie,19242,326
28,270303,movie,540606,325
29,882598,movie,1765196,325
30,12133,movie,24266,321
31,176,movie,352,315
32,8193,movie,16386,314
33,424139,movie,848278,313
34,8699,movie,17398,311
35,22970,movie,45940,307
36,694,movie,1388,306
37,9373,movie,18746,305
38,72844,tvshow,145689,304
39,391713,movie,783426,304
40,619778,movie,1239556,303
41,1035259,movie,2070518,303
42,4348,movie,8696,302
43,345911,movie,691822,302
44,10665,movie,21330,301
45,884605,movie,1769210,301
46,46705,movie,93410,300
47,10320,movie,20640,297
48,9489,movie,18978,287
49,11093,movie,22186,287
50,458723,movie,917446,286
51,530385,movie,1060770,285
52,9541,movie,19082,284
53,634,movie,1268,283
54,23437,movie,46874,281
55,426563,movie,853126,280
56,866463,movie,1732926,280
57,10066,movie,20132,279
58,55721,movie,111442,278
59,271718,movie,543436,276
60,948,movie,1896,271
61,2288,movie,4576,271
62,509,movie,1018,270
63,663712,movie,1327424,269
64,713704,movie,1427408,269
65,3021,movie,6042,268
66,38778,movie,77556,267
67,615457,movie,1230914,266
68,1581,movie,3162,264
69,11056,movie,22112,264
70,51540,movie,103080,264
71,109414,movie,218828,263
72,84892,movie,169784,262
73,89492,movie,178984,262
74,398818,movie,797636,262
75,80,movie,160,261
76,142,movie,284,259
77,2662,movie,5324,259
78,72207,movie,144414,259
79,617505,movie,1235010,259
80,725201,movie,1450402,259
81,21208,movie,42416,258
82,242224,movie,484448,258
83,10074,movie,20148,257
84,1078605,movie,2157210,257
85,7211,movie,14422,256
86,51828,movie,103656,255
87,109428,movie,218856,255
88,59,movie,118,253
89,544,movie,1088,253
90,13515,movie,27030,253
91,1232546,movie,2465092,253
92,377,movie,754,252
93,109418,movie,218836,252
94,157433,movie,314866,252
95,200727,movie,401454,252
96,10707,movie,21414,251
97,41446,movie,82892,251
98,49018,movie,98036,251
99,64685,movie,129370,250
100,6957,movie,13914,248
101,37165,movie,74330,247
102,138843,movie,277686,247
103,4232,movie,8464,245
104,331482,movie,662964,245
105,8645,movie,17290,244
106,445571,movie,891142,244
107,1954,movie,3908,243
108,10226,movie,20452,242
109,340666,movie,681332,242
110,18240,movie,36480,241
111,100042,movie,200084,241
112,857,movie,1714,239
113,11091,movie,22182,239
114,550988,movie,1101976,239
115,30497,movie,60994,238
116,11096,movie,22192,237
117,38700,movie,77400,237
118,50544,movie,101088,237
119,639,movie,1278,236
120,4613,tvshow,9227,236
121,866,movie,1732,235
122,9656,movie,19312,234
123,71859,movie,143718,234
124,399057,movie,798114,234
125,83899,movie,167798,233
126,4922,movie,9844,232
127,320,movie,640,231
128,680,movie,1360,228
129,2024,movie,4048,228
130,245891,movie,491782,226
131,507089,movie,1014178,226
132,86825,movie,173650,225
133,582596,movie,1165192,225
134,8467,movie,16934,224
135,132344,movie,264688,224
136,245,movie,490,223
137,27585,movie,55170,223
138,345,movie,690,222
139,9392,movie,18784,222
140,41630,movie,83260,222
141,420634,movie,841268,222
142,655,movie,1310,221
143,115004,tvshow,230009,221
144,603692,movie,1207384,221
145,508,movie,1016,220
146,11050,movie,22100,220
147,615678,movie,1231356,220
148,455980,movie,911960,219
149,1008042,movie,2016084,219
150,141,movie,282,217
151,4234,movie,8468,217
152,9919,movie,19838,217
153,862551,movie,1725102,216
154,2082,movie,4164,215
155,474350,movie,948700,215
156,1824,movie,3648,214
157,249042,tvshow,498085,214
158,709631,movie,1419262,214
159,65086,movie,130172,213
160,239678,movie,479356,213
161,5038,movie,10076,212
162,11547,movie,23094,211
163,345887,movie,691774,211
164,570670,movie,1141340,211
165,260346,movie,520692,210
166,116,movie,232,209
167,2621,movie,5242,209
168,83851,tvshow,167703,208
169,228150,movie,456300,207
170,1114513,movie,2229026,207
171,194,movie,388,206
172,492,movie,984,206
173,10069,movie,20138,206
174,804095,movie,1608190,206
175,1903,movie,3806,205
176,24420,movie,48840,205
177,505600,movie,1011200,205
178,632727,movie,1265454,205
179,470,movie,940,203
180,11812,movie,23624,203
181,16538,movie,33076,203
182,1079091,movie,2158182,203
183,693,movie,1386,202
184,23827,movie,47654,202
185,1100782,movie,2201564,202
186,745,movie,1490,201
187,146233,movie,292466,201
188,646385,movie,1292770,201
189,1933,movie,3866,199
190,22897,movie,45794,199
191,91586,movie,183172,199
192,376659,movie,753318,199
193,334,movie,668,198
194,372343,movie,744686,198
195,6877,movie,13754,197
196,264644,movie,529288,197
197,866398,movie,1732796,197
198,1072790,movie,2145580,197
199,13,movie,26,196
200,11908,movie,23816,196
201,52109,movie,104218,196
202,346364,movie,692728,196
203,243,movie,486,195
204,8976,movie,17952,194
205,238,movie,476,192
206,1266,movie,2532,192
207,4148,movie,8296,192
208,13207,movie,26414,192
209,346685,movie,693370,192
210,101,movie,202,191
211,216015,movie,432030,191
212,535292,movie,1070584,191
