packed_source_key,shard_id
1,3
10,0
12,1
22,0
24,0
26,0
28,0
30,0
32,0
34,2
36,0
38,0
40,1
42,3
44,0
48,0
50,0
52,2
56,0
66,0
70,0
76,0
110,0
116,0
118,0
124,0
126,0
128,0
130,0
132,0
134,0
136,0
138,0
140,0
142,0
146,0
148,0
150,0
152,0
154,0
156,0
158,0
160,0
162,0
164,0
166,1
170,0
172,3
174,0
176,0
178,0
180,0
182,2
186,0
190,0
192,0
194,0
196,0
198,0
200,0
202,0
204,2
206,0
208,0
210,0
212,0
214,0
216,0
218,0
220,0
222,0
224,2
226,0
228,0
230,0
232,0
234,0
236,0
240,0
242,0
244,0
246,1
254,2
256,0
258,0
264,2
268,0
270,2
272,1
274,0
276,0
278,3
280,1
282,0
284,0
286,0
288,0
290,1
292,0
294,0
296,2
298,0
300,0
304,0
306,0
308,0
310,0
312,3
314,1
316,1
322,0
324,0
326,0
328,0
330,0
334,0
336,0
338,0
340,0
344,1
346,1
348,0
350,0
352,0
354,0
356,1
358,0
360,0
364,2
366,2
368,0
370,0
372,0
374,0
378,0
384,0
386,0
388,0
390,2
392,0
394,0
396,1
398,0
400,1
402,0
406,0
408,1
410,0
411,0
414,0
424,1
426,0
428,0
430,0
432,2
434,0
436,0
438,0
440,1
442,1
444,3
446,0
452,0
454,0
456,1
458,0
462,0
464,0
465,2
466,1
468,1
470,0
472,1
474,2
476,0
478,0
480,0
482,0
484,0
486,0
488,0
490,1
492,1
494,0
496,2
498,0
500,1
502,0
504,0
506,0
508,0
510,1
512,2
514,1
516,1
518,2
520,1
522,1
524,0
532,1
534,1
536,0
538,0
544,0
548,0
550,0
552,1
554,0
556,0
558,0
560,0
562,0
568,0
570,0
574,1
576,0
578,0
580,0
582,1
584,2
586,0
588,2
592,0
594,0
596,0
598,1
600,1
602,0
604,0
606,0
612,1
614,1
616,1
618,0
620,0
622,0
626,1
628,1
630,2
636,2
638,0
640,0
642,1
644,0
652,0
654,1
658,0
660,2
662,2
664,1
666,3
667,0
668,0
670,0
672,1
674,2
676,0
678,1
680,1
684,0
686,0
690,0
692,0
696,0
700,0
726,1
728,0
754,0
756,0
758,0
760,0
762,0
766,1
774,0
776,0
778,0
782,0
784,0
786,0
790,0
792,1
794,1
796,0
800,1
802,0
804,0
806,0
808,0
810,1
812,0
816,0
818,0
822,0
828,0
830,0
842,0
844,0
846,0
848,0
850,0
852,0
854,2
858,0
860,1
862,0
866,0
870,0
872,1
874,1
876,1
878,0
880,0
882,2
890,0
902,0
904,1
906,0
908,0
910,1
924,0
928,2
932,1
934,1
936,0
938,1
940,0
946,0
950,0
952,0
958,1
960,1
964,1
966,0
976,1
978,0
980,0
984,0
986,1
992,0
994,0
998,0
1000,0
1002,1
1004,1
1006,0
1008,0
1010,2
1012,1
1014,1
1016,0
1018,0
1020,0
1024,0
1026,3
1042,0
1044,0
1046,0
1048,0
1050,0
1052,0
1054,1
1060,0
1062,0
1064,0
1066,0
1068,0
1070,0
1078,0
1080,0
1082,2
1084,2
1086,2
1088,0
1092,1
1094,0
1096,0
1098,2
1100,0
1102,0
1104,1
1106,0
1108,2
1114,0
1116,0
1118,0
1120,3
1122,0
1124,0
1126,0
1128,0
1130,0
1134,0
1136,0
1140,1
1142,0
1144,2
1146,1
1148,1
1150,0
1152,0
1154,1
1156,0
1158,1
1160,1
1162,0
1164,0
1166,0
1168,1
1170,0
1172,1
1174,0
1176,0
1180,0
1182,0
1184,0
1186,0
1188,0
1190,0
1192,1
1194,0
1196,0
1198,0
1200,0
1202,0
1204,0
1206,0
1208,0
1210,0
1212,0
1214,0
1216,0
1218,0
1224,0
1226,0
1228,0
1230,0
1232,0
1234,0
1238,0
1240,0
1242,0
1244,0
1246,0
1248,0
1250,1
1254,0
1256,0
1258,0
1260,0
1262,1
1264,1
1266,2
1268,0
1270,0
1272,1
1274,0
1276,0
1278,0
1280,0
1282,0
1284,0
1286,0
1288,0
1292,0
1294,0
1296,1
1298,1
1300,0
1302,0
1304,0
1306,0
1308,0
1310,0
1314,0
1316,0
1317,2
1318,0
1320,0
1322,2
1324,0
1326,0
1328,0
1330,0
1332,1
1334,0
1336,0
1338,2
1340,0
1342,0
1344,0
1346,0
1348,0
1350,0
1352,0
1354,3
1356,1
1358,0
1360,0
1362,0
1364,0
1372,0
1374,0
1376,0
1380,0
1382,0
1386,0
1388,0
1390,1
1392,0
1394,3
1396,0
1398,0
1400,0
1402,2
1404,1
1406,0
1408,1
1410,0
1414,0
1416,0
1418,0
1420,0
1422,1
1424,0
1426,0
1428,0
1484,1
1488,0
1489,1
1490,0
1492,0
1494,0
1500,2
1502,2
1503,0
1504,0
1506,2
1508,0
1510,0
1512,0
1514,2
1516,2
1518,1
1520,1
1524,0
1526,0
1528,0
1530,0
1532,0
1534,0
1536,0
1538,0
1540,0
1542,1
1544,0
1546,0
1550,1
1552,1
1554,1
1556,2
1558,2
1560,1
1562,3
1564,0
1566,0
1568,1
1572,0
1574,0
1576,0
1577,2
1578,2
1580,0
1582,1
1584,0
1586,0
1588,0
1590,0
1592,0
1594,0
1600,1
1602,0
1604,0
1606,2
1608,0
1610,0
1612,1
1614,0
1616,0
1618,0
1620,0
1622,1
1624,0
1626,0
1628,0
1630,2
1632,0
1634,0
1636,0
1638,0
1640,0
1642,0
1644,2
1646,0
1648,0
1650,2
1652,0
1654,1
1656,1
1658,0
1660,1
1662,2
1664,0
1666,2
1668,0
1674,0
1676,0
1678,0
1680,0
1682,0
1684,2
1686,0
1688,0
1690,0
1692,0
1694,0
1696,1
1698,0
1700,0
1702,0
1706,0
1708,0
1710,0
1712,0
1714,0
1716,0
1718,0
1720,0
1722,0
1724,0
1726,0
1728,0
1730,0
1732,0
1734,0
1736,2
1738,0
1740,1
1742,0
1744,0
1746,0
1748,1
1750,2
1754,0
1758,0
1760,2
1762,0
1766,1
1768,0
1770,3
1772,1
1773,2
1774,1
1776,1
1778,2
1781,0
1782,0
1784,0
1789,0
1790,0
1792,2
1794,2
1796,1
1798,2
1800,1
1802,0
1804,0
1806,0
1810,1
1814,0
1818,1
1820,0
1822,3
1824,1
1826,0
1828,0
1832,0
1834,2
1836,1
1838,1
1840,0
1842,0
1844,0
1846,0
1848,0
1850,0
1852,0
1854,0
1856,0
1858,0
1862,1
1864,3
1868,1
1870,0
1872,1
1876,0
1878,2
1880,1
1882,0
1884,0
1886,0
1888,0
1892,2
1894,0
1896,0
1898,0
1900,0
1902,1
1906,0
1908,0
1910,0
1912,0
1914,0
1922,1
1924,0
1926,0
1928,2
1930,1
1932,0
1934,0
1936,0
1950,0
1952,1
1954,2
1956,0
1960,2
1962,1
1964,1
1965,1
1966,1
1968,0
1970,0
1972,2
1974,1
1976,1
1978,2
1980,0
1982,1
1984,1
1986,1
1988,0
1990,0
1992,1
2036,0
2046,0
2048,1
2080,0
2083,1
2085,0
2087,0
2089,0
2098,0
2100,2
2102,0
2104,1
2116,1
2118,1
2127,0
2146,0
2150,1
2175,0
2176,0
2178,0
2180,0
2182,0
2184,0
2186,1
