remap_index,tmdb_id,type,packed_value,frequency
0,122906,movie,245812,600
1,725201,movie,1450402,493
2,11036,movie,22072,490
3,913290,movie,1826580,484
4,140607,movie,281214,467
5,615457,movie,1230914,458
6,19913,movie,39826,440
7,401,movie,802,437
8,550988,movie,1101976,436
9,453395,movie,906790,432
10,497698,movie,995396,430
11,38,movie,76,426
12,399579,movie,799158,421
13,624860,movie,1249720,421
14,72105,movie,144210,420
15,603692,movie,1207384,419
16,85350,movie,170700,415
17,296,movie,592,414
18,493922,movie,987844,413
19,23169,movie,46338,412
20,1999,movie,3998,408
21,1894,movie,3788,406
22,210577,movie,421154,406
23,49521,movie,99042,405
24,299536,movie,599072,404
25,9428,movie,18856,403
26,334541,movie,669082,401
27,495764,movie,991528,401
28,76338,movie,152676,398
29,565,movie,1130,392
30,588,movie,1176,386
31,87101,movie,174202,384
32,502356,movie,1004712,383
33,54138,movie,108276,380
34,297802,movie,595604,378
35,99861,movie,199722,374
36,38700,movie,77400,372
37,290859,movie,581718,372
38,209112,movie,418224,370
39,447365,movie,894730,370
40,1895,movie,3790,368
41,9522,movie,19044,367
42,9339,movie,18678,366
43,458723,movie,917446,366
44,297761,movie,595522,360
45,240667,tvshow,481335,351
46,634649,movie,1269298,350
47,271110,movie,542220,348
48,8645,movie,17290,347
49,322,movie,644,345
50,9767,movie,19534,339
51,102382,movie,204764,339
52,866398,movie,1732796,337
53,640146,movie,1280292,336
54,14,movie,28,334
55,436969,movie,873938,334
56,527774,movie,1055548,333
57,38356,movie,76712,332
58,176,movie,352,329
59,524434,movie,1048868,325
60,950387,movie,1900774,325
61,14869,movie,29738,324
62,109443,movie,218886,320
63,82702,movie,165404,319
64,956,movie,1912,318
65,10191,movie,20382,317
66,1954,movie,3908,316
67,157547,movie,315094,315
68,200727,movie,401454,315
69,9621,movie,19242,313
70,9489,movie,18978,311
71,1078605,movie,2157210,311
72,335983,movie,671966,307
73,667538,movie,1335076,307
74,37165,movie,74330,306
75,884605,movie,1769210,305
76,575264,movie,1150528,303
77,697843,movie,1395686,303
78,718930,movie,1437860,303
79,1858,movie,3716,301
80,76163,movie,152326,301
81,882598,movie,1765196,301
82,391713,movie,783426,299
83,866463,movie,1732926,299
84,384018,movie,768036,297
85,533535,movie,1067070,297
86,694,movie,1388,295
87,72844,tvshow,145689,295
88,458156,movie,916312,295
89,299534,movie,599068,294
90,404368,movie,808736,294
91,436270,movie,872540,293
92,2044,movie,4088,291
93,8587,movie,17174,291
94,530385,movie,1060770,291
95,425,movie,850,289
96,24428,movie,48856,289
97,345887,movie,691774,289
98,580489,movie,1160978,289
99,605,movie,1210,288
100,82507,movie,165014,288
101,335984,movie,671968,288
102,791373,movie,1582746,288
103,115004,tvshow,230009,286
104,141,movie,282,285
105,438631,movie,877262,284
106,10665,movie,21330,283
107,353081,movie,706162,282
108,1079091,movie,2158182,282
109,155,movie,310,281
110,84892,movie,169784,281
111,284053,movie,568106,281
112,1571,movie,3142,280
113,10229,movie,20458,280
114,616037,movie,1232074,280
115,713704,movie,1427408,279
116,507089,movie,1014178,278
117,249042,tvshow,498085,277
118,120,movie,240,276
119,680,movie,1360,276
120,619778,movie,1239556,276
121,141052,movie,282104,275
122,3021,movie,6042,274
123,767,movie,1534,273
124,11688,movie,23376,273
125,345911,movie,691822,273
126,1035259,movie,2070518,273
127,550,movie,1100,272
128,12133,movie,24266,272
129,424139,movie,848278,272
130,320,movie,640,271
131,100402,movie,200804,271
132,8193,movie,16386,270
133,245891,movie,491782,270
134,4348,movie,8696,269
135,146233,movie,292466,268
136,330457,movie,660914,267
137,454626,movie,909252,267
138,11093,movie,22186,266
139,331482,movie,662964,266
140,10320,movie,20640,265
141,270303,movie,540606,264
