remap_index,tmdb_id,type,packed_value,frequency
248,764,movie,1528,73
249,3110,movie,6220,73
250,12212,movie,24424,73
251,31516,movie,63032,73
252,72207,movie,144414,73
253,109443,movie,218886,73
254,1251,movie,2502,72
255,3635,movie,7270,72
256,9730,movie,19460,72
257,10984,movie,21968,72
258,11023,movie,22046,72
259,12142,movie,24284,72
260,24420,movie,48840,72
261,804095,movie,1608190,72
262,320,movie,640,71
263,814,movie,1628,71
264,1944,movie,3888,71
265,4825,movie,9650,71
266,6023,movie,12046,71
267,8645,movie,17290,71
268,10590,movie,21180,71
269,11906,movie,23812,71
270,12160,movie,24320,71
271,21622,movie,43244,71
272,60935,movie,121870,71
273,64685,movie,129370,71
274,242224,movie,484448,71
275,340666,movie,681332,71
276,372343,movie,744686,71
277,1628,movie,3256,70
278,4961,movie,9922,70
279,9769,movie,19538,70
280,10747,movie,21494,70
281,13671,movie,27342,70
282,13936,movie,27872,70
283,23202,movie,46404,70
284,29380,movie,58760,70
285,258480,movie,516960,70
286,544415,movie,1088830,70
287,429,movie,858,69
288,696,movie,1392,69
289,845,movie,1690,69
290,3175,movie,6350,69
291,18405,movie,36810,69
292,29702,movie,59404,69
293,200727,movie,401454,69
294,216015,movie,432030,69
295,293863,movie,587726,69
296,321258,movie,642516,69
297,1232546,movie,2465092,69
298,76,movie,152,68
299,215,movie,430,68
300,3012,movie,6024,68
301,9825,movie,19650,68
302,9913,movie,19826,68
303,11101,movie,22202,68
304,11377,movie,22754,68
305,13368,movie,26736,68
306,28763,movie,57526,68
307,37165,movie,74330,68
308,293167,movie,586334,68
309,33,movie,66,67
310,143,movie,286,67
311,261,movie,522,67
312,578,movie,1156,67
313,2044,movie,4088,67
314,11071,movie,22142,67
315,16563,movie,33126,67
316,17529,movie,35058,67
317,17889,movie,35778,67
318,80585,movie,161170,67
319,15,movie,30,66
320,240,movie,480,66
321,621,movie,1242,66
322,1495,movie,2990,66
323,2621,movie,5242,66
324,3062,movie,6124,66
325,3597,movie,7194,66
326,8699,movie,17398,66
327,9676,movie,19352,66
328,10012,movie,20024,66
329,129670,movie,259340,66
330,374720,movie,749440,66
331,760104,movie,1520208,66
332,676,movie,1352,65
333,8922,movie,17844,65
334,10839,movie,21678,65
335,10972,movie,21944,65
336,11462,movie,22924,65
337,13550,movie,27100,65
338,72105,movie,144210,65
339,167073,movie,334146,65
340,884605,movie,1769210,65
341,141,movie,282,64
342,301,movie,602,64
343,3084,movie,6168,64
344,5967,movie,11934,64
345,9599,movie,19198,64
346,11354,movie,22708,64
347,11442,movie,22884,64
