remap_index,tmdb_id,type,packed_value,frequency
0,122906,movie,245812,209
1,9522,movie,19044,206
2,109443,movie,218886,186
3,9428,movie,18856,180
4,8699,movie,17398,177
5,72105,movie,144210,175
6,8193,movie,16386,174
7,401,movie,802,171
8,8346,movie,16692,157
9,85350,movie,170700,157
10,1035259,movie,2070518,157
11,9767,movie,19534,156
12,565,movie,1130,151
13,14,movie,28,150
14,634,movie,1268,145
15,9339,movie,18678,142
16,1999,movie,3998,141
17,2662,movie,5324,141
18,12133,movie,24266,141
19,426563,movie,853126,141
20,913290,movie,1826580,139
21,10074,movie,20148,137
22,4348,movie,8696,135
23,9373,movie,18746,133
24,334541,movie,669082,132
25,10066,movie,20132,131
26,509,movie,1018,129
27,588,movie,1176,128
28,9621,movie,19242,126
29,23437,movie,46874,125
30,16619,movie,33238,124
31,19913,movie,39826,124
32,11036,movie,22072,123
33,176,movie,352,122
34,544,movie,1088,122
35,210577,movie,421154,121
36,55721,movie,111442,120
37,50646,movie,101292,119
38,663712,movie,1327424,119
39,424139,movie,848278,118
40,857,movie,1714,117
41,4613,tvshow,9227,117
42,8467,movie,16934,117
43,9489,movie,18978,116
44,23169,movie,46338,116
45,884605,movie,1769210,116
46,948,movie,1896,115
47,9656,movie,19312,115
48,322,movie,644,114
49,6957,movie,13914,114
50,30497,movie,60994,113
51,38778,movie,77556,113
52,84892,movie,169784,113
53,157547,movie,315094,113
54,391713,movie,783426,113
55,694,movie,1388,111
56,1581,movie,3162,111
57,41446,movie,82892,111
58,109414,movie,218828,110
59,228150,movie,456300,110
60,2024,movie,4048,109
61,22970,movie,45940,109
62,505600,movie,1011200,109
63,824,movie,1648,108
64,11812,movie,23624,108
65,420634,movie,841268,107
66,445571,movie,891142,107
67,493922,movie,987844,107
68,866463,movie,1732926,107
69,38,movie,76,106
70,11631,movie,23262,106
71,639,movie,1278,105
72,142,movie,284,104
73,10226,movie,20452,104
74,10665,movie,21330,103
75,51540,movie,103080,103
76,72207,movie,144414,102
77,82507,movie,165014,102
78,377,movie,754,101
79,2082,movie,4164,101
80,4234,movie,8468,101
81,41630,movie,83260,101
82,9398,movie,18796,100
83,619778,movie,1239556,100
84,13515,movie,27030,99
85,270303,movie,540606,99
86,271718,movie,543436,99
87,245,movie,490,98
88,320,movie,640,98
89,4232,movie,8464,98
90,9541,movie,19082,98
91,458423,movie,916846,98
92,11547,movie,23094,97
93,109428,movie,218856,97
94,10320,movie,20640,96
95,11908,movie,23816,96
96,617505,movie,1235010,96
97,508,movie,1016,95
98,855,movie,1710,95
99,872,movie,1744,95
100,10069,movie,20138,95
101,11093,movie,22186,95
102,50544,movie,101088,95
103,83899,movie,167798,95
104,1954,movie,3908,94
105,3021,movie,6042,94
106,7211,movie,14422,94
107,10591,movie,21182,93
108,11091,movie,22182,93
109,12177,movie,24354,93
110,80585,movie,161170,93
111,109418,movie,218836,93
112,243,movie,486,92
113,1266,movie,2532,92
114,18240,movie,36480,92
115,89492,movie,178984,92
116,13,movie,26,91
117,116,movie,232,91
118,866,movie,1732,91
119,2288,movie,4576,91
120,13207,movie,26414,91
121,615678,movie,1231356,91
122,10707,movie,21414,90
123,100042,movie,200084,90
124,313369,movie,626738,90
125,646385,movie,1292770,90
126,64685,movie,129370,89
127,844185,movie,1688370,89
128,59,movie,118,88
129,2105,movie,4210,88
130,8363,movie,16726,88
131,16538,movie,33076,87
132,245891,movie,491782,87
133,331482,movie,662964,87
134,680,movie,1360,86
135,2112,movie,4224,86
136,2292,movie,4584,86
137,455980,movie,911960,86
138,530385,movie,1060770,86
139,610253,movie,1220506,86
140,632727,movie,1265454,86
141,676,movie,1352,85
142,1690,movie,3380,85
143,2976,movie,5952,85
144,51828,movie,103656,85
