remap_index,tmdb_id,type,packed_value,frequency
0,9656,movie,19312,202
1,122906,movie,245812,200
2,10066,movie,20132,189
3,85350,movie,170700,181
4,948,movie,1896,180
5,1999,movie,3998,177
6,2662,movie,5324,177
7,565,movie,1130,174
8,424139,movie,848278,164
9,4232,movie,8464,161
10,9373,movie,18746,159
11,176,movie,352,158
12,210577,movie,421154,158
13,913290,movie,1826580,158
14,41446,movie,82892,156
15,10226,movie,20452,155
16,663712,movie,1327424,155
17,13207,movie,26414,153
18,2082,movie,4164,152
19,9877,movie,19754,150
20,420634,movie,841268,150
21,322,movie,644,149
22,11036,movie,22072,149
23,30497,movie,60994,149
24,23169,movie,46338,147
25,4488,movie,8976,145
26,11908,movie,23816,144
27,646385,movie,1292770,143
28,16938,movie,33876,142
29,46705,movie,93410,142
30,334541,movie,669082,142
31,14,movie,28,141
32,4234,movie,8468,141
33,16619,movie,33238,141
34,493922,movie,987844,141
35,377,movie,754,140
36,23437,movie,46874,134
37,4348,movie,8696,133
38,83899,movie,167798,133
39,866463,movie,1732926,133
40,8617,movie,17234,132
41,82507,movie,165014,132
42,588,movie,1176,131
43,19913,movie,39826,130
44,13567,movie,27134,129
45,14435,movie,28870,127
46,157547,movie,315094,127
47,270303,movie,540606,127
48,116,movie,232,125
49,401,movie,802,123
50,2024,movie,4048,123
51,22970,movie,45940,122
52,11093,movie,22186,120
53,530385,movie,1060770,118
54,9428,movie,18856,117
55,619778,movie,1239556,117
56,4233,movie,8466,116
57,9489,movie,18978,115
58,9767,movie,19534,114
59,694,movie,1388,112
60,11091,movie,22182,112
61,115004,tvshow,230009,112
62,320,movie,640,111
63,10665,movie,21330,111
64,109428,movie,218856,111
65,372343,movie,744686,111
66,391713,movie,783426,111
67,6466,movie,12932,109
68,11547,movie,23094,109
69,10069,movie,20138,108
70,8346,movie,16692,107
71,43931,movie,87862,107
72,1071215,movie,2142430,107
73,345,movie,690,106
74,10707,movie,21414,106
75,632727,movie,1265454,106
76,11056,movie,22112,105
77,10781,movie,21562,104
78,760104,movie,1520208,104
79,86825,movie,173650,103
80,1690,movie,3380,102
81,4613,tvshow,9227,102
82,10070,movie,20140,101
83,65086,movie,130172,101
84,71859,movie,143718,101
85,857,movie,1714,100
86,4148,movie,8296,100
87,9730,movie,19460,100
88,83851,tvshow,167703,100
89,38,movie,76,99
90,11050,movie,22100,99
